table of content,table of content-href,requirements quests,levels,other,"items required	"
Mourning's Ends Part II,https://oldschool.runescape.wiki/w/Mourning%27s_Ends_Part_II,Mourning's Ends Part I,,"Recommended:
43+ Prayer Prayer for Protect from Melee against the Shadows
60+ Agility Agility for lesser chances of failing obstacles (91 to never fail [1])","Full mourner clothes
A chisel (one can be found in the house south of the Mourner HQ)
A Death talisman or Death tiara (WARNING! - Death Tiara does not always work)  or 50 junk items to obtain one (suggested only for Ironmen who cannot otherwise obtain one)
Rope
Recommended:

Ardougne teleports (if you've completed the Ratcatchers quest  don't forget the free minigames teleport to Ardougne which puts you in Jimmy Dazzler's house just north of the gate to West Ardougne)
An elf teleport crystal
Lots of food and prayer potions and stamina potions. Summer pies provide an excellent source of food  since they give 5 agility levels  restore 10% run energy and give 22 health per pie.
High prayer bonus armour (e.g. proselyte or initiate armour  a god book  a holy symbol  a broodoo shield).
A melee weapon that provides a prayer bonus  such as any Godsword  Zamorakian hasta  Ancient mace  Silver sickle (b)  crozier  dragon mace  Void Knight mace  or the Wolfbane. The Ancient mace's special attack can be useful as it refills prayer points.
A holy wrench for a prayer-restoring bonus
Purple sweets to restore run energy
One pure essence to craft a Death rune once in the Death altar at the end of the quest (requires 65 Runecraft Runecraft  needed for hard Ardougne Diary)"
The Giant Dwarf,https://oldschool.runescape.wiki/w/The_Giant_Dwarf,The Knight's Sword,"12 Crafting
16 Firemaking
33 Magic
14 Thieving","Recommended:
20+ Mining Mining
20+ Smithing Smithing","~2 500 coins
Logs (most logs will work  however  arctic pine logs do not work)
A tinderbox
Coal (there are rocks in the city  but you need 30 Mining)
An iron bar
A law and air rune (for Telekinetic Grab)
3 cut sapphires (6 if you want to keep an axe after the quest  it can be stolen (requires 75 Thieving) or purchased from the gem stall in Keldagrim)
A redberry pie (if you haven't completed The Knight's Sword)
Various ores and bars (obtainable during the quest)"
Dwarf Cannon,https://oldschool.runescape.wiki/w/Dwarf_Cannon,null,,,"A hammer (obtained during the quest)
Recommended:

Some food (Lower Levels)
Energy potions
An Amulet of glory or a combat bracelet teleport to the Edgeville Monastery
A Camelot/Ardougne teleport or a games necklace for teleporting to the Barbarian Assault arena
A skills necklace for teleporting to the Fishing Guild
A Falador teleport"
Black Knights' Fortress,https://oldschool.runescape.wiki/w/Black_Knights%27_Fortress,null,,"12 Quest points
The ability to evade level 33 Black Knights","Cabbage (can be obtained from the cabbage patch in Edgeville Monastery. Cabbages obtained from Draynor Manor CANNOT be used)
Iron chainbody (can be purchased at Horvik's Armour Shop in Varrock and from Wayne's Chains in Falador)
Bronze med helm (can be purchased in the helmet shop in Barbarian Village  spawns by the backdoor of Draynor Manor)
Recommended:

Food
Armour
Combat bracelet (teleport to Monastery and head west to find the Black Knights' Fortress
Falador teleports"
Shades of Mort'ton,https://oldschool.runescape.wiki/w/Shades_of_Mort%27ton,Priest in Peril.,"20 Crafting
15 Herblore
5 Firemaking","Must be able to defeat 5 level-40 Loar Shades.
Must be able to survive an onslaught when rebuilding the Temple  and many players make this much easier.","Combat equipment
2 tarromin (can be obtained during quest) and 2 vials of water  or 2 Tarromin potion (unf)
An axe or some logs
2 Ashes
Tinderbox
5000+ coins (bring plenty of money just in case)
Prior to building the temple  you need a hammer (1 coin at the general store). However  a regular hammer is insufficient to build the temple without a large group. An additional 13 000 coins allows you to buy a Flamtaer hammer  which is necessary to complete this part of the quest without a group.
Optional but recommended:

2 or 3 tarromin herbs  ashes  and spare logs
Druid pouch (only if travelling through the swamp with ghasts)
3 or 4 Flamtaer bracelets (HIGHLY recommended; the minigame is usually unpopulated)
Flamtaer hammer (HIGHLY recommended; the minigame is usually unpopulated)
Food"
Sheep Herder,https://oldschool.runescape.wiki/w/Sheep_Herder,null,,,100 coins
Eagles' Peak,https://oldschool.runescape.wiki/w/Eagles%27_Peak,null,27 Hunter (may be boosted),,"10 Eagle feather (obtained through the quest)
Yellow dye
Swamp tar
50 Coins"
Biohazard,https://oldschool.runescape.wiki/w/Biohazard,Plague City,,,"A Priest gown top and bottom (can be obtained during the quest for 12 coins)
Recommended:

Teleports to Falador/Draynor Village/cabbage patch  Varrock  and Ardougne
A few energy or stamina potions"
Enakhra's Lament,https://oldschool.runescape.wiki/w/Enakhra%27s_Lament,null,"50 Crafting
45 Firemaking
43 Prayer
39 Magic
45 Mining",,"A pickaxe
A chisel
Bread or cake (chocolate cake does work)
A tinderbox
A candle (a black candle will not work)
Logs
Oak logs
Willow logs
Maple logs
Soft clay
Coal
Crumble Undead runes (2 earth  2 air  and 1 chaos rune each cast) and Standard spellbook
Multiple runes to cast Fire and Wind Bolt  Wave  or Blast
Recommended:

52kg of sandstone (there's a quarry to the west if you have 35 Mining to mine it)
Two 5kg pieces of granite (there's a quarry to the west if you have 45 Mining to mine it)
A second piece of soft clay if you would like your own camel mask
Desert equipment (desert robes and waterskins)
~200-400 coins for a magic carpet ride to the Bedabin Camp
Restore Prayer points before you start
Multiple casts of Crumble Undead. You only need to hit once  but splashing will require you to cast it again"
Tribal Totem,https://oldschool.runescape.wiki/w/Tribal_Totem,null,21 Thieving,,"At least 90 coins for boat trips to and from Ardougne or a ring of charos (a)
Recommended:

An amulet of glory (for teleport to Karamja)
Ardougne teleports"
Ghosts Ahoy,https://oldschool.runescape.wiki/w/Ghosts_Ahoy,"The Restless Ghost
Priest in Peril","25 Agility
20 Cooking","Recommended:
Level 58 Agility Agility (can be boosted) to save time at the Ectofuntus","Some amount of Ecto-tokens:
31 Ecto-tokens (20 with ring of charos (a))
OR 25 Ecto-tokens (10 with ring) using charter ships
OR 1 bone  1 pot  and 1 bucket for every 5 ecto-tokens required (see Pre-quest for more info)
A ghostspeak amulet
~400 Coins
A bucket of milk
Silk
3 colours of dye (The dye colours you will need are random. If you want to save a trip  have 3 red  3 blue  and 3 yellow dyes. That way  you can mix whatever colours you end up needing.)
A spade
An oak longbow
A knife (can be purchased from the Canifis general store)
A needle (can be purchased from the Canifis general store)
Thread (can be purchased from the Canifis general store)
One extra bucket of slime for colouring the bed sheet (can be purchased from a Charter ship crew member at the port).
Nettle tea (prepared ahead of time) or items to make nettle tea:
A tinderbox and 1 log of which you have the Firemaking level to light. Tinderbox can be purchased from the general store during quest. Alternatively  you can use the range in Port Phasmatys but that requires a lot of extra walking  thus it is not recommended).
Gloves (must be closed fingered - Slayer gloves  Ranger gloves  Infinity gloves  Moonclan gloves  Granite gloves  and Lunar gloves won't work)
Nettles (can be obtained during the quest)
A bowl of water (bowl can be purchased during quest)"
Tree Gnome Village,https://oldschool.runescape.wiki/w/Tree_Gnome_Village,null,,The ability to defeat a level 112 Khazard warlord (can be safespotted),"6 normal logs (or an axe  obtainable during the quest though it is easier to bring one)
Combat equipment"
Dragon Slayer II,https://oldschool.runescape.wiki/w/Dragon_Slayer_II,"Legends' Quest
Dream Mentor
A Tail of Two Cats
Animal Magnetism
Ghosts Ahoy
Bone Voyage
Client of Kourend","75 Magic
70 Smithing
68 Mining
62 Crafting
60 Agility (higher recommended)
60 Thieving (higher recommended)
50 Construction
50 Hitpoints","200 Quest Quest points
Started the Firemaking part of Barbarian Training to gain access to the Ancient Cavern","A pickaxe
An axe
8 oak planks
10 swamp paste
At least 12 nails of any kind (Note: Bringing more is recommended; nails may bend!)
A hammer
A machete
A saw
Catspeak amulet
Ghostspeak amulet
Goutweed
Cut dragonstone
2 molten glass
Glassblowing pipe
Spade
Astral rune
Seal of passage (if elite Fremennik Diary is not done)
Tinderbox
Pestle and mortar
Runes for 3 Fire Wave spells OR 3 Fire Surge spells
Recommended:

Stamina potions
Serpentine helm or anti-venom+
Teleports to various places around the game  most notably Musa Point  Fossil Island  Lunar Isle  and Rellekka
High-tier combat equipment  high-healing food  and prayer potions"
Ratcatchers,https://oldschool.runescape.wiki/w/Ratcatchers,Icthlarin's Little Helper,,"Access to Keldagrim
Ironmen will need 54 Herblore (or 200 gp to pay Zahur in Nardah to clean a Grimy Kwuarm) OR obtaining Rat poison located in the Clock Tower Dungeon","Cat (full-grown cats are best  overgrown cats will only be able to complete the sections after Jimmy the Dazzler's task; bring fish if you have a kitten)
Rat poison or empty vial  kwuarm & red spiders' eggs
4 cheese
Marrentill
Unicorn horn dust
Bucket of milk
Catspeak amulet
Weeds
Tinderbox
Pot
101 coins (or 51 coins with a ring of charos (a))
Snake charm (if you have completed The Feud  otherwise it is obtainable during the quest)
Recommended:

Fast transport methods to: Varrock  Port Sarim  Pollnivneach  Ardougne & Keldagrim
Extra coins for a carpet ride or a Scroll of redirection to Pollnivneach
Some fish (at least 8 is recommended  either raw or cooked fish works) to heal your cat
Lots of patience"
Vampire Slayer,https://oldschool.runescape.wiki/w/Vampire_Slayer,null,,Able to defeat a combat level 34 vampire with a very high health recovery rate.,"Hammer or 1 coin for purchase (can be bought from the general store just north of the Blue Moon Inn)
2 coins or a beer (can be bought during the quest)
Garlic (can be obtained during the quest)
Stake (obtained from Dr Harlow after giving him a beer)
Recommended:

A Varrock teleportation method
Amulet of glory or Draynor Manor Teleport for Draynor Village teleports"
Rum Deal,https://oldschool.runescape.wiki/w/Rum_Deal,"Zogre Flesh Eaters
Priest in Peril","42 Crafting
50 Fishing (can be boosted)
40 Farming (can be boosted)
47 Prayer
42 Slayer",,"Recommended:

Combat equipment to kill a level 150 monster  which uses the Melee attack style.
Slayer gloves or Relicym's balm are suggested as there are monsters which can cause disease. Note  however  that a simple teleportation to Clan Wars and going through the portal and out will bring all your stats back to maximum  which can easily be done after the quest as it does not or very rarely damage you.
6 free inventory spaces
Optional:

A rake and a seed dibber to save 30 seconds
The Ectophial teleports close to the start area and out of island.
Dramen staff to teleport to ALQ to start the quest if you don't have an Ectophial
Full prayer points
Stamina potions"
Monk's Friend,https://oldschool.runescape.wiki/w/Monk%27s_Friend,null,,The ability to run past level 14 thieves  along with a level 26 one.,"A jug of water
One regular log or any axe to chop down one of the regular trees nearby
Recommended: Ardougne cloak 1 or higher to be able to teleport directly to the Monastery."
The Great Brain Robbery,https://oldschool.runescape.wiki/w/The_Great_Brain_Robbery,"Creature of Fenkenstrain
Cabin Fever
Recipe for Disaster/Freeing Pirate Pete","16 Crafting
30 Construction
50 Prayer","Access to a player-owned house workshop and crafting table.
Be able to kill a level 190 monster that can disable Prayers.","Fishbowl helmet
Diving apparatus (Obtain these from Murphy in Port Khazard if you've lost them; talk to him 2 times  1st time for helmet and 2nd time for apparatus.)
10 Wooden Cats
2 Hammers (one will be given to dr. Frenkenstein)
About 100 nails (38 are needed  but some—especially bronze or iron—may bend)
8 normal planks (18 if making the Wooden Cats instead of buying them from the Grand Exchange)
Holy symbol
Ring of charos (if lost  can be re-obtained during quest by pickpocketing Fenkenstrain)
NOTE: The following items are only required if you are making the Wooden cats instead of buying them from the Grand Exchange

4 oak planks and a saw if you are providing your own crafting table and do not already have one (build in the Clockmaking space)
10 pieces of fur (bear or grey wolf fur; wolf fur can be obtained during quest by killing Canifis townsfolk. Baraek sells them for 20 gold each. Furs from Hunter monsters will not work)
Recommended:

Means of teleportation to Port Phasmatys (through the Ectophial)
Charged Amulet of Glory to teleport to Edgeville (specifically the Monastery) 
Runes to cast Fenkenstrain's Castle Teleport twice (or its magic tablet equivalent)
If making the wooden cats  Runes to teleport to your (or another player's) house or its magic tablet equivalent  are highly recommended.
Weapon and armour (ranging or maging gear is highly recommended as safespotting is available)
Food and prayer potions are highly recommended"
Nature Spirit,https://oldschool.runescape.wiki/w/Nature_Spirit,"Priest in Peril
The Restless Ghost",18 Crafting,,"A Silver sickle - either purchase it from the Grand Exchange  or make it with a Silver bar and Sickle mould in a furnace. Ironmen can buy a Silver bar from the Silver merchant in Ardougne. Also  make sure you have full Prayer points.
A Ghostspeak amulet
6 Free inventory spaces"
Pirate's Treasure,https://oldschool.runescape.wiki/w/Pirate%27s_Treasure,null,,Able to defeat or run away from a Combat level 4 gardener.,"Karamjan rum (obtainable during the quest)
White apron (obtainable during the quest)
60 coins (only 30 is needed if using a Ring of charos(a))
10 bananas (obtainable during the quest)
Spade (obtainable during the quest)"
Between a Rock...,https://oldschool.runescape.wiki/w/Between_a_Rock...,"Dwarf Cannon
Fishing Contest","30 Defence
40 Mining
50 Smithing",The ability to defeat a level 75-125 enemy (depends on how much gold you mine),"A pickaxe
4 gold bars
A hammer
An ammo mould (can be bought for 5 coins during the quest)
~830 coins (for cart and ferry)
Recommended:

A Falador teleport
A Combat bracelet (to teleport to the Monastery)
A Camelot Teleport
Ring of charos (a)
A lunar or dramen staff"
Bone Voyage,https://oldschool.runescape.wiki/w/Bone_Voyage,The Dig Site,,"100 Kudos
Have sailed to Great Kourend at least once","2 vodka
Marrentill potion (unf)
Recommended:

4 Digsite teleport scrolls or Digsite pendant to teleport to Digsite
Skills necklace to teleport to the Woodcutting Guild
Xeric's talisman to teleport to Xeric's Look-out (located just north of the Woodcutting Guild)
Varrock teleport
Amulet of glory or Explorer's ring 2 to reach Port Sarim
2 Lumberyard teleports to reach the Sawmill north-east of Varrock
or

2 willow logs for Balloon Transport System to Varrock Lumberyard
Post-quest recommended:

An iron bar  2 oak planks  5 nails and a hammer if you want to build the bank chest on Fossil Island (Note: This requires 21 Construction)"
Recipe for Disaster/Freeing Sir Amik Varze,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Sir_Amik_Varze,Legends' Quest,,"107 Quest Quest points
Access to the Kharazi Jungle
The ability to defeat a level 227 Black dragon","A bucket of milk (can be bought from the Culinaromancer's Chest)
A pot of cream (can be bought from the Culinaromancer's Chest)
Pot of cornflour
Any axe (Not required if you have a Vanilla pod)
A machete (as well as Radimus notes if you haven't completed Legends' Quest) (Not required if you have a Vanilla pod)
A dramen staff or Lunar staff to enter Zanaris
A dramen branch to make cinnamon
A pestle and mortar
Ice gloves
A raw chicken
Recommended:

An anti-dragon shield
An antifire potion"
A Tail of Two Cats,https://oldschool.runescape.wiki/w/A_Tail_of_Two_Cats,Icthlarin's Little Helper,,,"Cat or kitten (Hellcats work. Be sure to bring fish for your kitten if you're using one.)
Catspeak amulet
5 death runes
A chocolate cake
Logs
A tinderbox
A bucket of milk
Shears
4 potato seeds
A rake
A seed dibber
A vial of water
White robe top and bottom (Desert clothing is fine)
Recommended:

An amulet of glory  games necklace  and Varrock Teleport runes or tablet
A Shantay pass (for Sophanem)
At least (3) Waterskin
Some coins for magic carpet travelling (for Sophanem)
Desert survival gear  depending on your mode of transport."
Underground Pass,https://oldschool.runescape.wiki/w/Underground_Pass,Biohazard,25 Ranged,"Recommended:
Agility (60+) strongly recommended.
50 Thieving is helpful for a shortcut.
43 Prayer for Protection prayers
Level 79 combat will make Blessed spiders non-aggressive  which saves some time while killing Kalrag.","1 rope (2 recommended)
A bow and 1-5 arrows (only non-poisoned arrows with metal arrowtips will work)
A spade (obtainable prior to quest  spawns at Edmond's house north of Ardougne Castle)
A plank (obtainable during quest  technically not necessary)
A bucket (obtainable during quest)
A tinderbox (obtainable during quest)
Combat equipment for dealing with multiple mid-level foes
Recommended:

Lots of food to survive traps and monsters
Coins to buy food from Kamen (75 coins each time you want to buy food). If you don't have coins  you can still get food from him at the cost of a temporary Agility penalty.
4+ Agility potions for players with a low Agility level OR Summer pies to boost Agility
Telekinetic Grab runes for the Amulet of othanian if you have a low Agility level
A teleportation method in case you need to leave the dungeon
Weight reducing clothes like the Graceful outfit to increase your success rate at agility obstacles. However  keep in mind that you will need to defeat several mid-level monsters. So if you are a low combat level you might want to bring combat equipment instead of weight reducing clothes  trying to bring both is advised against."
In Aid of the Myreque,https://oldschool.runescape.wiki/w/In_Aid_of_the_Myreque,In Search of the Myreque,"25 Crafting
15 Mining
7 Magic","Recommended:
Completion of Shades of Mort'ton for access to the Shades of Mort'ton (minigame) teleport.
Partial completion of Fairytale II - Cure a Queen for quick access to Canifis via Fairy rings (code cks).
50 Agility to use the bip fairy ring  which skips the swamp and most ghasts","A blessed silver sickle (obtained during Nature Spirit)
Food
A spade
5 buckets
Any pickaxe
A hammer
11 planks (Only regular planks will work.)
44 nails (42 are obtainable during the quest)
Swamp paste
10 raw mackerel or 10 raw snails (depending on what is asked)
10-12 bronze axes
4 tinderboxes
2 steel bars
Coal
Soft clay
Rope
A silver bar
A mithril bar
A sapphire
A cosmic rune
A water rune
Optional to give to Ivan Strom (Strongly recommended if you don't have a high combat level 85+):
A steel med helm
A steel chainbody
Steel platelegs
A silver sickle
15 cooked salmon  snails  slimy eels  or stew
Recommended:

A dramen staff
A slayer ring
Several Mort'ton teleport scrolls/Barrows teleport tablets
Efaritay's aid (allow you to harm vampyres with any weapon)
A big fishing net (in case you are asked to supply mackeral)
Amulet of glory to teleport to Edgeville furnace"
Another Slice of H.A.M.,https://oldschool.runescape.wiki/w/Another_Slice_of_H.A.M.,"Death to the Dorgeshuun
The Giant Dwarf
The Dig Site
Druidic Ritual","15 Attack
25 Prayer",The ability to defeat a level 64 (using any combat style) and two level 30 enemies using either Ranged or Magic.,"A light source
A tinderbox
Magic or Ranged gear for enemy fight (cannot use Melee on them)
Recommended:

Fast teleports to Lumbridge Swamp (amulet of glory to Draynor Village  Lumbridge teleport or Home Teleport)
Food
At least eight empty inventory spaces at the start of the quest"
The Lost Tribe,https://oldschool.runescape.wiki/w/The_Lost_Tribe,"Goblin Diplomacy
Rune Mysteries","13 Agility
13 Thieving
17 Mining",Note: (Goblin Diplomacy can be completed when speaking with the goblin generals as part of The Lost Tribe quest; it is not required to start The Lost Tribe.),"A pickaxe
A light source (An open light source like a candle or torch are not recommended as they can go out  resulting in significant damage. A Bullseye lantern is recommended  but you need 49 firemaking to light it.)
A tinderbox (for lighting your light source)
Recommended:

Teleports to Varrock  Falador and Lumbridge to reduce walking
A Lockpick (optional  door can be picked without it)"
Regicide,https://oldschool.runescape.wiki/w/Regicide,Underground Pass,"56 Agility
10 Crafting",The ability to defeat a level 110 Tyras guard. (Safespots are available.),"20+ coal in the bank  but it can be done with as little as 7-10
A bow and a few arrows
At least 2 ropes
A spade
A piece of limestone (or a pickaxe with 10+ Mining Mining). Note that limestone bricks will NOT work.
A tinderbox
Some antipoisons
A strip of cloth (made on a loom with 4 balls of wool; not a bolt of cloth). (There's a loom at the Elf Camp that can be used or one at the Falador farm in preparation of the quest.)
A pestle and mortar
Gloves that completely cover the player's hands (Lunar gloves and Slayer gloves will NOT work.)
A pot (obtainable during quest)
A cooked rabbit (obtainable during quest)
Recommended:

Weight-reducing gear  like Boots of lightness and Graceful clothing
Gloves of silence
A plank (obtainable during quest)
(Super-)energy potions or Stamina potions
Good food (monkfish  sharks  etc.)
Lots of agility potions if you are level 53-55 Agility Agility  or summer pies if boosting from 51-55. Bring at least 6 doses/bites.
An axe (to chop logs to make fires and kill and cook rabbits for food)
Falador teleport or Teleport to house if your house is located in Rimmington
Coins (for buying food in the Underground Pass)
Equipment to defeat a level 110 Tyras guard
Patience as you will be travelling through Underground Pass twice. Once very heavy."
Gertrude's Cat,https://oldschool.runescape.wiki/w/Gertrude%27s_Cat,null,,,"Bucket of milk
100 coins
Either seasoned sardine (can be bought from the Grand Exchange) or ingredients to make seasoned sardine; raw sardine (can be purchased from Gerrant at Port Sarim) and a Doogle leaves (available at the start of the quest  south of Gertrude's house)
Recommended:

Skills necklace for teleporting to Cooking Guild
Varrock teleport
Ring of charos (a) (lets you choose the colour of your kitten)
Lumberyard Teleport"
Lost City,https://oldschool.runescape.wiki/w/Lost_City,null,"31 Crafting
36 Woodcutting",Ability to kill a level 101 Tree spirit with limited armour and weapons.,"A knife
A woodcutting axe (you will need to bank the axe before accessing Entrana)
Suggested:

Runes for approximately 50 casts of the Crumble Undead spell (requires 39 Magic Magic) (Tree Spirit is susceptible to it).
Runes or tabs to teleport out of Entrana Dungeon (highly recommended)
Food"
Witch's House,https://oldschool.runescape.wiki/w/Witch%27s_House,null,,The ability to defeat 4 monsters from level 19 to 53 without a break.,"Cheese (You may wish to bring several  especially if you have a slow computer. You can get the cheese from Aggie's house in Draynor Village  from the Grand Exchange  or from the Culinaromancer's Chest in Lumbridge.)
Leather gloves (obtainable during the quest)
Recommended:

A weapon
Armour
Food for lower level players"
Cook's Assistant,https://oldschool.runescape.wiki/w/Cook%27s_Assistant,null,,,"An empty pot (obtainable during the quest)
A bucket (obtainable during the quest)
An egg (obtainable during the quest)
Alternatively  bring a bucket of milk  a pot of flour  and an egg to skip a majority of the quest."
Shield of Arrav,https://oldschool.runescape.wiki/w/Shield_of_Arrav,null,,"A trustworthy friend or partner. Players can join the official clan chat ""OSRS SOA"" to look for a partner.","Phoenix Gang: 20 coins
Black Arm Gang: 5 coins and 2 Phoenix crossbows (obtained during the quest)"
The Eyes of Glouphrie,https://oldschool.runescape.wiki/w/The_Eyes_of_Glouphrie,The Grand Tree,"5 Construction
46 Magic
45 Woodcutting",,"Bucket of sap
Mud rune
Pestle and mortar
Maple log
Oak log
Hammer
Saw
Recommended:

Dramen staff if you've started Fairytale II for the use of fairy rings  or some form of teleportation to Yanille"
The Forsaken Tower,https://oldschool.runescape.wiki/w/The_Forsaken_Tower,Client of Kourend,,20% Lovakengj House favour,"Tinderbox (obtainable during quest)
Recommended:

Antipoison
Food
Games necklace
Battlefront teleport
Xeric's talisman
Stamina potion
Bring 6 Coal and 1 Adamantite ore to complete a hard diary task (requires 70 Smithing)"
Recipe for Disaster/Freeing Evil Dave,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Evil_Dave,"Gertrude's Cat
Shadow of the Storm",25 Cooking,,"In order of effectiveness: A wily cat  cat  kitten  or lazy cat (last two NOT RECOMMENDED!)
Many bowls of stew (It is a good idea to have a minimum of 10 bowls of stew to start off with.)
Note: You can not use an overgrown cat as they do not hunt rats.
Note: If you are using a kitten it may be helpful to bring 1-2 pieces of food suitable for a kitten; it may take a while and your kitten will get hungry."
Waterfall Quest,https://oldschool.runescape.wiki/w/Waterfall_Quest,null,,The ability to withstand and evade attacks from level 84 Moss giants without any equipment.,"6 Air runes
6 Earth runes
6 Water runes
A rope
Recommended:

Food
A games necklace for easy teleportation to Almera
A skills necklace for easy teleportation to Glarial's tomb
An Ardougne cloak to get to Tree Gnome Village via Ardougne Monastery  a Ring of Dueling via Castle Wars teleport  or  a Necklace of passage may be used to get there via the Outpost"
Demon Slayer,https://oldschool.runescape.wiki/w/Demon_Slayer,null,,The ability to defeat a level 27 demon aided by three level 20 Dark wizards and two level 7 Dark wizards using the Silverlight in melee.,"A bucket of water (can be obtained during the quest)
25 bones (can't be noted  but can be delivered in increments)
1 gold coin
Recommended:

Food
Armour
A means of teleportation or transportation to get to Varrock and the Wizards' Tower south of Draynor Village and west of Lumbridge"
Icthlarin's Little Helper,https://oldschool.runescape.wiki/w/Icthlarin%27s_Little_Helper,Gertrude's Cat,,The ability to defeat a level 91 monster.,"A regular  overgrown  hellcat or kitten. No food is required as the kitten can stay in your inventory for the most part  or automatically go in/out of your inventory.
A tinderbox
About 500 coins (to pay for the magic carpets and supplies)
A bag of salt (can be bought from any Slayer Master  other players  or the Grand Exchange) or an empty bucket to obtain a pile of salt
1 willow log
1 bucket of sap (use a knife on an evergreen tree or a regular tree with the description ""a commonly found tree"" with a bucket in your inventory) A slayer master and evergreen trees can both be found in Burthorpe.
1 waterskin (4) (can be bought for 30 gp at Shantay pass)
2-3 waterskins for yourself
Linen (obtained during quest—bought from vendor in Sophanem)
A Shantay Pass to enter the desert (can be bought at desert entrance)"
Shilo Village,https://oldschool.runescape.wiki/w/Shilo_Village,Jungle Potion,"20 Crafting
32 Agility (boostable)
4 Smithing",Must be able to defend from many Undead ones (level 61-73) and able to defeat three monsters that are about level 90.,"All required items (except for the bones and wire) can be bought at the general store in Tai Bwo Wannai.
Spade
Unlit torch or a candle (lanterns or black candles don't work) (you will not get this item back)
Tinderbox
Rope
Bronze wire or bronze bar and a hammer (wire is faster)
Chisel
3 regular Bones (obtainable during quest  only normal bones work; a spare is a good idea in case you bury one)

Recommended:

Decent armour and a weapon
Good food (enough to make it through two long tunnels of level 73 monsters)
Stamina potions
Antipoison potion (poison can hit up to 11 each time; a combat level of 65 or higher will make the very poisonous tribesmen non-aggressive)
Prayer Potions to help protect against the undead
Teleports (for leaving dangerous areas in a hurry; ring of dueling is helpful for access to a glider; necklace of passage  amulet of glory and several other viable options for easy access to fairy rings).
Papyrus and charcoal (only required if you lose an item during the quest)
Access to the Gnome glider and fairy rings makes travelling easier (don't forget your Dramen staff)
Crumble Undead makes it easy to kill the 3 monsters."
King's Ransom,https://oldschool.runescape.wiki/w/King%27s_Ransom,"Black Knights' Fortress
Holy Grail
Murder Mystery
One Small Favour","45 Magic
65 Defence (not boostable)",,"Granite (any size)
Telekinetic Grab runes (can be obtained during the quest)
Full black armour (helmet  platebody  and platelegs/plateskirt)—NOTE: Trimmed versions of black armour will work
A bronze med helm (spawns inside Draynor Manor near exit)
An iron chainbody (can be bought at Wayne's Chains in Southern Falador  Horvik's Armour Shop in central Varrock  or the Grand Exchange)
Animate rock scroll (obtainable during the quest). Note: if you have it in your bank  either destroy it or take it with you. You won't be able to receive another from Wizard Cromperty otherwise.
Recommended:

A teleport to Ardougne to talk to Wizard Cromperty
A teleport to Camelot for a quick access to Seers' Village and Camelot
A combat bracelet or amulet of glory for fast access to the Edgeville Monastery
Dramen staff with code cjr for quick travel to Sinclair Mansion
Salve graveyard teleports for quick access to fairy ring"
Client of Kourend,https://oldschool.runescape.wiki/w/Client_of_Kourend,null,,,"Feather (Stripy and coloured feathers work too.)
Recommended:

Games necklace OR access to Fairy rings and have the Kourend fairy ring activated by talking to Trossa with 80 000 Coins OR using the Lovakengj Minecart Network.
Xeric's talisman and Lizardman fangs
Weight-reducing clothing such as Graceful outfit
Stamina potions (will make the quest drastically shorter)
6 casts of Kourend Castle Teleport (69 Magic required) to shorten the running distance between the majority of General Stores and to get to Veos
Wolf bones for extra dialogue at the end of the quest"
Prince Ali Rescue,https://oldschool.runescape.wiki/w/Prince_Ali_Rescue,null,,The ability to get past aggressive combat level 26 jail guards.,"Soft clay
3 balls of wool
Yellow dye or 2 onions and 5 coins
Redberries
Ashes
A bucket of water or a jug of water
A pot of flour
A bronze bar
A pink skirt
3 beers
Rope (can be bought during the quest at Ned for 18 coins or 4 balls of wool)
At least 100 coins
Recommended:

(members only)

An amulet of glory (teleports to Draynor Village and Al Kharid)
or

A ring of dueling (teleports to Al Kharid via Duel Arena)
A necklace of passage (teleports to Draynor Village via Wizards' Tower)"
Family Crest,https://oldschool.runescape.wiki/w/Family_Crest,null,"40 Mining (boostable)
40 Smithing (boostable)
59 Magic (boostable)
40 Crafting",The ability to defeat a level 170 demon (can be safespotted),"Shrimps (cooked)
Salmon (cooked)
Tuna (cooked)
Bass (cooked)
Swordfish (cooked)
A pickaxe
2 cut ruby
A ring mould
A necklace mould
An antipoison potion (doesn't have to be 4 dose)
Runes to cast all 4 elemental Blast spells
Recommended:

An extra antipoison potion for yourself (for the poison spiders in Edgeville Dungeon)
Varrock  Camelot  Falador  and Ardougne Teleports
A ring of dueling
An amulet of glory (charged)
A combat bracelet (charged)"
Recipe for Disaster/Another Cook's Quest,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Another_Cook%27s_Quest,Cook's Assistant,10 Cooking,,"An eye of newt
A greenman's ale
A rotten tomato
Any fruit blast excluding a premade fr' blast
Ashes"
Druidic Ritual,https://oldschool.runescape.wiki/w/Druidic_Ritual,null,,,"Raw bear meat
Raw rat meat
Raw beef
Raw chicken"
X Marks the Spot,https://oldschool.runescape.wiki/w/X_Marks_the_Spot,null,,,"Spade
Recommended:

Amulet of glory to teleport to Draynor Village.
Stamina potion"
